<Z> <E> <F> <T> ( - id num ) * + [endOfParsing] 
1 |ok| 2 3 4 5 6 7 8 |-| |-| |-| |-| 
2 |-| |-| |-| |-| |-| |-| |-| |-| |-| |-| 9 |R|<Z> 
3 |-| |-| |-| |-| |-| |-| |-| |-| |R|<T> |R|<T> |R|<T> |R|<T> 
4 |-| |-| |-| |-| |-| |-| |-| |-| |R|<E> 10 |R|<E> |R|<E> 
5 |-| 11 3 4 5 6 7 8 |-| |-| |-| |-| 
6 |-| |-| 12 |-| 5 6 7 8 |-| |-| |-| |-| 
7 |-| |-| |-| |-| |-| |-| |-| |-| |R|<F> |R|<F> |R|<F> |R|<F> 
8 |-| |-| |-| |-| |-| |-| |-| |-| |R|<F> |R|<F> |R|<F> |R|<F> 
9 |-| |-| 3 13 5 6 7 8 |-| |-| |-| |-| 
10 |-| |-| 14 |-| 5 6 7 8 |-| |-| |-| |-| 
11 |-| |-| |-| |-| |-| |-| |-| |-| 15 |-| 9 |-| 
12 |-| |-| |-| |-| |-| |-| |-| |-| |R|<F> |R|<F> |R|<F> |R|<F> 
13 |-| |-| |-| |-| |-| |-| |-| |-| |R|<E> 10 |R|<E> |R|<E> 
14 |-| |-| |-| |-| |-| |-| |-| |-| |R|<T> |R|<T> |R|<T> |R|<T> 
15 |-| |-| |-| |-| |-| |-| |-| |-| |R|<F> |R|<F> |R|<F> |R|<F> 
